nameEN,nameOriginal,type,gov,email,dept,phone,website,address,source,confidence,checkedAt,notes
Southern Technical University,الجامعة التقنية الجنوبية,public_uni,basra,website@stu.edu.iq,Computer Science,,https://www.stu.edu.iq,المكتبة الافتراضية برعاية السيد رئيس الجامعة التقنية الجنوبية.. انطلاق فعاليات المخيم الصيفي لعام 2026 وزارة التعليم الع,https://www.stu.edu.iq/contact,99,2026-06-10 00:00:00,
HKU – Hawler Medical University,زانكۆی پزیشكی هەولێر,private_uni,erbil,webmaster@hmu.edu.krd,,964428571429,https://www.hmu.edu.krd,,https://www.hmu.edu.krd,99,2026-06-10 00:00:00,
Southern Technical University,الجامعة التقنية الجنوبية,public_uni,basra,vice.sc@stu.edu.iq,President Office,,https://www.stu.edu.iq,المكتبة الافتراضية برعاية السيد رئيس الجامعة التقنية الجنوبية.. انطلاق فعاليات المخيم الصيفي لعام 2026 وزارة التعليم الع,https://www.stu.edu.iq/contact,99,2026-06-10 00:00:00,
Southern Technical University,الجامعة التقنية الجنوبية,public_uni,basra,vice.admn@stu.edu.iq,President Office,,https://www.stu.edu.iq,المكتبة الافتراضية برعاية السيد رئيس الجامعة التقنية الجنوبية.. انطلاق فعاليات المخيم الصيفي لعام 2026 وزارة التعليم الع,https://www.stu.edu.iq/contact,99,2026-06-10 00:00:00,
Southern Technical University,الجامعة التقنية الجنوبية,public_uni,basra,uti@stu.edu.iq,,,https://www.stu.edu.iq,المكتبة الافتراضية برعاية السيد رئيس الجامعة التقنية الجنوبية.. انطلاق فعاليات المخيم الصيفي لعام 2026 وزارة التعليم الع,https://www.stu.edu.iq/contact,99,2026-06-10 00:00:00,
University of Basrah,جامعة البصرة,public_uni,basra,usama.khaleefa@uobasrah.edu.iq,,,https://www.uobasrah.edu.iq,(استخدام تقنية المعالجة الحيوية للترب... قراءة المزيد Media 2026-06-08 جامعة البصرة تبحث تأثير قشور الرمان والحرمل على م,https://www.uobasrah.edu.iq/about,99,2026-06-10 00:00:00,
University of Thi-Qar,جامعة ذي قار,public_uni,dhiqar,university.of.thiqar@utq.edu.iq,,964970179083,https://www.utq.edu.iq,"دراسة دموية وكيموحيوية أبريل 12, 2025 Author nissreen Alrekabi رسالة ماجستير في كلية التربية للعلوم الصرفة بجامعة ذي قار",https://www.utq.edu.iq/en/contact,99,2026-06-10 00:00:00,
Southern Technical University,الجامعة التقنية الجنوبية,public_uni,basra,ttc@stu.edu.iq,,,https://www.stu.edu.iq,المكتبة الافتراضية برعاية السيد رئيس الجامعة التقنية الجنوبية.. انطلاق فعاليات المخيم الصيفي لعام 2026 وزارة التعليم الع,https://www.stu.edu.iq/contact,99,2026-06-10 00:00:00,
Tikrit University,جامعة تكريت,public_uni,salahaldeen,tikrit.uni@tu.edu.iq,,964544207735,https://www.tu.edu.iq,"باللون التركوازي الجامعي */ .hero-main-title { font-size: clamp(22px, 2.5vw, 28px); font-weight: 800; color: var(--tu-te",https://www.tu.edu.iq,99,2026-06-10 00:00:00,
Southern Technical University,الجامعة التقنية الجنوبية,public_uni,basra,sti@stu.edu.iq,,,https://www.stu.edu.iq,المكتبة الافتراضية برعاية السيد رئيس الجامعة التقنية الجنوبية.. انطلاق فعاليات المخيم الصيفي لعام 2026 وزارة التعليم الع,https://www.stu.edu.iq/contact,99,2026-06-10 00:00:00,
Southern Technical University,الجامعة التقنية الجنوبية,public_uni,basra,secretary@stu.edu.iq,President Office,,https://www.stu.edu.iq,المكتبة الافتراضية برعاية السيد رئيس الجامعة التقنية الجنوبية.. انطلاق فعاليات المخيم الصيفي لعام 2026 وزارة التعليم الع,https://www.stu.edu.iq/contact,99,2026-06-10 00:00:00,
Southern Technical University,الجامعة التقنية الجنوبية,public_uni,basra,sc@stu.edu.iq,President Office,,https://www.stu.edu.iq,المكتبة الافتراضية برعاية السيد رئيس الجامعة التقنية الجنوبية.. انطلاق فعاليات المخيم الصيفي لعام 2026 وزارة التعليم الع,https://www.stu.edu.iq/contact,99,2026-06-10 00:00:00,
Iraqi University,الجامعة العراقية,public_uni,baghdad,saf@ses.aliraqia.edu.iq,,964780699351,https://www.aliraqia.edu.iq,«الهوية الاجتماعية لدى الشباب في ظل المتغيرات الثقافية»، وذلك يوم الثلاثاء الموافق 2026/5/5، قدّمتها... Read More منتهية,https://www.aliraqia.edu.iq/contact,99,2026-06-10 00:00:00,
University of Basrah,جامعة البصرة,public_uni,basra,reshak@uobasrah.edu.iq,,,https://www.uobasrah.edu.iq,(استخدام تقنية المعالجة الحيوية للترب... قراءة المزيد Media 2026-06-08 جامعة البصرة تبحث تأثير قشور الرمان والحرمل على م,https://www.uobasrah.edu.iq/about,99,2026-06-10 00:00:00,
