"institution_name","contact_name","email","phone","department","governorate","institution_type","language","source","status","notes"
"click store کلیک ستۆر","","clickstore258@gmail.com","9647510000000.0","","Halabja","Education-related","","academic_institutions_import","active",""
"Nahrain University","","info@nahrainuniv.edu.iq","","","Baghdad","public university","","academic_institutions_import","active","Use phones/emails_raw as the preserved source field. Rows marked not found need website/social search before outreach. Bracketed [email protected] values are placeholders exactly preserved from the report, not verified deliverable emails. Website: https://nahrainuniv.edu.iq/"
"Nahrain University","","info@nahrainuniv.edu.iq","","","Diyala","public university","","academic_institutions_import","active","Use phones/emails_raw as the preserved source field. Rows marked not found need website/social search before outreach. Bracketed [email protected] values are placeholders exactly preserved from the report, not verified deliverable emails. Website: https://nahrainuniv.edu.iq/"
"Nahrain University","","info@nahrainuniv.edu.iq","","","Salah al-Din","public university","","academic_institutions_import","active","Use phones/emails_raw as the preserved source field. Rows marked not found need website/social search before outreach. Bracketed [email protected] values are placeholders exactly preserved from the report, not verified deliverable emails. Website: https://nahrainuniv.edu.iq/"
"Nahrain University","","info@nahrainuniv.edu.iq","","","Babil","public university","","academic_institutions_import","active","Use phones/emails_raw as the preserved source field. Rows marked not found need website/social search before outreach. Bracketed [email protected] values are placeholders exactly preserved from the report, not verified deliverable emails. Website: https://nahrainuniv.edu.iq/"
"University of the City of Science","","m.alelem@mauc.edu.iq","7278","","Baghdad","Private university/college","","academic_institutions_import","active","Use phones/emails_raw as the preserved source field. Rows marked not found need website/social search before outreach. Bracketed [email protected] values are placeholders exactly preserved from the report, not verified deliverable emails. Website: not found"
"Al Mansour University College","","","07814238373 ; 07752100100 ; 07852100100","","Baghdad","private university","","academic_institutions_import","active","Use phones/emails_raw as the preserved source field. Rows marked not found need website/social search before outreach. Bracketed [email protected] values are placeholders exactly preserved from the report, not verified deliverable emails. Website: https://www.muc.edu.iq"
"Baghdad Pharmacy College","","","07806020473 ; 07906321215","","Baghdad","university","","academic_institutions_import","active","Use phones/emails_raw as the preserved source field. Rows marked not found need website/social search before outreach. Bracketed [email protected] values are placeholders exactly preserved from the report, not verified deliverable emails. Website: http://www.bpc.edu.iq/pharmacy/index.php?lang=en"
"University of Baghdad","","","07827203218","","Baghdad","public university","","academic_institutions_import","active","Use phones/emails_raw as the preserved source field. Rows marked not found need website/social search before outreach. Bracketed [email protected] values are placeholders exactly preserved from the report, not verified deliverable emails. Website: http://www.uobaghdad.edu.iq"
"Sheikh Mohammed Al Kasinzan University College","","","6688 ; 07801117262 ; 07815104556","","Baghdad","private university","","academic_institutions_import","active","Use phones/emails_raw as the preserved source field. Rows marked not found need website/social search before outreach. Bracketed [email protected] values are placeholders exactly preserved from the report, not verified deliverable emails. Website: https://alsalam.edu.iq"
"كلية الباني الجامعة","","","07718777717 ; 07866900663","","Baghdad","private university","","academic_institutions_import","active","Use phones/emails_raw as the preserved source field. Rows marked not found need website/social search before outreach. Bracketed [email protected] values are placeholders exactly preserved from the report, not verified deliverable emails. Website: albani.edu.iq surfaced in guide indexing; socials exist on WordPress/Instagram footprint"
"Al Yarmouk University College","","","07737497053","","Baghdad","private university","","academic_institutions_import","active","Use phones/emails_raw as the preserved source field. Rows marked not found need website/social search before outreach. Bracketed [email protected] values are placeholders exactly preserved from the report, not verified deliverable emails. Website: http://al-yarmok.com"
"Baghdad College","","","07827203218","","Baghdad","school","","academic_institutions_import","active","Use phones/emails_raw as the preserved source field. Rows marked not found need website/social search before outreach. Bracketed [email protected] values are placeholders exactly preserved from the report, not verified deliverable emails. Website: http://www.baghdadcollege.net/"
"Al-Turath University","","","6112 ; 6113","","Baghdad","private university","","academic_institutions_import","active","Use phones/emails_raw as the preserved source field. Rows marked not found need website/social search before outreach. Bracketed [email protected] values are placeholders exactly preserved from the report, not verified deliverable emails. Website: https://uoturath.edu.iq/"
"Shatt Al-Arab University College","","","07717008900 ; 07837467331 ; 07811529720","","Basra","private university","","academic_institutions_import","active","Use phones/emails_raw as the preserved source field. Rows marked not found need website/social search before outreach. Bracketed [email protected] values are placeholders exactly preserved from the report, not verified deliverable emails. Website: http://www.sa-cu.net/"
"Hawler Medical University","","","+964 66 2273383 ; +964 66 2273384","","Erbil","university","","academic_institutions_import","active","Use phones/emails_raw as the preserved source field. Rows marked not found need website/social search before outreach. Bracketed [email protected] values are placeholders exactly preserved from the report, not verified deliverable emails. Website: http://www.hmu.edu.krd"
"University of AL-Maarif","","","07735544777 ; 07835544777","","Anbar","private university","","academic_institutions_import","active","Use phones/emails_raw as the preserved source field. Rows marked not found need website/social search before outreach. Bracketed [email protected] values are placeholders exactly preserved from the report, not verified deliverable emails. Website: http://www.auc-edu.org/"
"Al Mansour University College","","","07814238373 ; 07752100100 ; 07852100100","","Diyala","private university","","academic_institutions_import","active","Use phones/emails_raw as the preserved source field. Rows marked not found need website/social search before outreach. Bracketed [email protected] values are placeholders exactly preserved from the report, not verified deliverable emails. Website: https://www.muc.edu.iq"
"Baghdad Pharmacy College","","","07806020473 ; 07906321215","","Diyala","university","","academic_institutions_import","active","Use phones/emails_raw as the preserved source field. Rows marked not found need website/social search before outreach. Bracketed [email protected] values are placeholders exactly preserved from the report, not verified deliverable emails. Website: http://www.bpc.edu.iq/pharmacy/index.php?lang=en"
"University of Baghdad","","","07827203218","","Diyala","public university","","academic_institutions_import","active","Use phones/emails_raw as the preserved source field. Rows marked not found need website/social search before outreach. Bracketed [email protected] values are placeholders exactly preserved from the report, not verified deliverable emails. Website: http://www.uobaghdad.edu.iq"
"Sheikh Mohammed Al Kasinzan University College","","","6688 ; 07801117262 ; 07815104556","","Diyala","private university","","academic_institutions_import","active","Use phones/emails_raw as the preserved source field. Rows marked not found need website/social search before outreach. Bracketed [email protected] values are placeholders exactly preserved from the report, not verified deliverable emails. Website: https://alsalam.edu.iq"
"Al Yarmouk University College","","","07737497053","","Diyala","private university","","academic_institutions_import","active","Use phones/emails_raw as the preserved source field. Rows marked not found need website/social search before outreach. Bracketed [email protected] values are placeholders exactly preserved from the report, not verified deliverable emails. Website: http://al-yarmok.com"
"Baghdad College","","","07827203218","","Diyala","school","","academic_institutions_import","active","Use phones/emails_raw as the preserved source field. Rows marked not found need website/social search before outreach. Bracketed [email protected] values are placeholders exactly preserved from the report, not verified deliverable emails. Website: http://www.baghdadcollege.net/"
"Al-Turath University","","","6112 ; 6113","","Diyala","private university","","academic_institutions_import","active","Use phones/emails_raw as the preserved source field. Rows marked not found need website/social search before outreach. Bracketed [email protected] values are placeholders exactly preserved from the report, not verified deliverable emails. Website: https://uoturath.edu.iq/"
"Al Mansour University College","","","07814238373 ; 07752100100 ; 07852100100","","Salah al-Din","private university","","academic_institutions_import","active","Use phones/emails_raw as the preserved source field. Rows marked not found need website/social search before outreach. Bracketed [email protected] values are placeholders exactly preserved from the report, not verified deliverable emails. Website: https://www.muc.edu.iq"
"Baghdad Pharmacy College","","","07806020473 ; 07906321215","","Salah al-Din","university","","academic_institutions_import","active","Use phones/emails_raw as the preserved source field. Rows marked not found need website/social search before outreach. Bracketed [email protected] values are placeholders exactly preserved from the report, not verified deliverable emails. Website: http://www.bpc.edu.iq/pharmacy/index.php?lang=en"
"University of AL-Maarif","","","07735544777 ; 07835544777","","Salah al-Din","private university","","academic_institutions_import","active","Use phones/emails_raw as the preserved source field. Rows marked not found need website/social search before outreach. Bracketed [email protected] values are placeholders exactly preserved from the report, not verified deliverable emails. Website: http://www.auc-edu.org/"
"University of Baghdad","","","07827203218","","Salah al-Din","public university","","academic_institutions_import","active","Use phones/emails_raw as the preserved source field. Rows marked not found need website/social search before outreach. Bracketed [email protected] values are placeholders exactly preserved from the report, not verified deliverable emails. Website: http://www.uobaghdad.edu.iq"
