"entity","action","reason","existing_id","name","native_name","governorate","website","email","phone"
"institution","update_missing","matched website","southern_technical","Southern Technical University","الجامعة التقنية الجنوبية","Basra","stu.edu.iq","website@stu.edu.iq",""
"institution","skipped","matched website","academic-inst-d708711a406d4f58b3341de64e5b02c2","HKU – Hawler Medical University","زانكۆی پزیشكی هەولێر","Erbil","hmu.edu.krd","webmaster@hmu.edu.krd","964428571429"
"institution","skipped","duplicate within import file","","Southern Technical University","الجامعة التقنية الجنوبية","Basra","stu.edu.iq","vice.sc@stu.edu.iq",""
"institution","skipped","duplicate within import file","","Southern Technical University","الجامعة التقنية الجنوبية","Basra","stu.edu.iq","vice.admn@stu.edu.iq",""
"institution","skipped","duplicate within import file","","Southern Technical University","الجامعة التقنية الجنوبية","Basra","stu.edu.iq","uti@stu.edu.iq",""
"institution","skipped","matched website","basrah","University of Basrah","جامعة البصرة","Basra","uobasrah.edu.iq","usama.khaleefa@uobasrah.edu.iq",""
"institution","skipped","matched website","thiqar","University of Thi-Qar","جامعة ذي قار","Dhi Qar","utq.edu.iq","university.of.thiqar@utq.edu.iq","964970179083"
"institution","skipped","duplicate within import file","","Southern Technical University","الجامعة التقنية الجنوبية","Basra","stu.edu.iq","ttc@stu.edu.iq",""
"institution","update_missing","matched website","tikrit","Tikrit University","جامعة تكريت","salahaldeen","tu.edu.iq","tikrit.uni@tu.edu.iq","964544207735"
"institution","skipped","duplicate within import file","","Southern Technical University","الجامعة التقنية الجنوبية","Basra","stu.edu.iq","sti@stu.edu.iq",""
"institution","skipped","duplicate within import file","","Southern Technical University","الجامعة التقنية الجنوبية","Basra","stu.edu.iq","secretary@stu.edu.iq",""
"institution","skipped","duplicate within import file","","Southern Technical University","الجامعة التقنية الجنوبية","Basra","stu.edu.iq","sc@stu.edu.iq",""
"institution","skipped","matched English name + governorate","academic-inst-d67309285c63462b8a623003f6df1a5b","Iraqi University","الجامعة العراقية","Baghdad","aliraqia.edu.iq","saf@ses.aliraqia.edu.iq","964780699351"
