"name_en","name_ar_ku","institution_type","governorate","city","website","phone","email","address","latitude","longitude","status","verification_label","notes"
"click store کلیک ستۆر","","Education-related","Halabja","","","9647510000000.0","clickstore258@gmail.com","شەقامی گشتی, هەڵەبجە, پارێزگای هەڵەبجە","35.1767261","45.9876287","needs_review","","From OSM tags; phone/email/website may be missing or need review. Source URLs: https://www.openstreetmap.org/way/1072306972"
"Nahrain University","جامعة النهرين","public university","Baghdad","","https://nahrainuniv.edu.iq","","info@nahrainuniv.edu.iq","Baghdad","33.278","44.376","official-ish","dual-source verified","Wikidata item with official website; verify before outreach. Source URLs: http://www.wikidata.org/entity/Q37765"
"University of the City of Science","جامعة مدينة العلم","Private university/college","Baghdad","","not found","7278","m.alelem@mauc.edu.iq","Baghdad","","","Active or listed (verify before outreach)","official-guide only","private; official-guide only Source URLs: https://iru.mohesr.gov.iq/result ; https://mohesr.gov.iq/ar/post/%D8%A5%D8%B7%D9%84%D8%A7%D9%82-%D8%AF%D9%84%D9%8A%D9%84-%D8%A7%D9%84%D8%AC%D8%A7%D9%85%D8%B9%D8%A7%D8%AA-%D9%88%D8%A7%D9%84%D9%83%D9%84%D9%8A%D8%A7%D8%AA-%D8%A7%D9%84%D8%A3%D9%87%D9%84%D9%8A%D8%A9-20262025-2025-11-24-21 ; https://mohesr.gov.iq/ar/assets/img/uploaded_files/241120250.pdf"
"The American University of Iraq, Sulaimani","الجامعة الأمريكية في السليمانية","educational institution","Sulaymaniyah","","http://auis.edu.iq","","","Sulaymaniyah","35.57314897","45.3534492","official-ish","KRG MoHE list","Wikidata item with official website; verify before outreach. Source URLs: http://www.wikidata.org/entity/Q4115450"
"University of Kirkuk","جامعة كركوك","public university","Sulaymaniyah","","http://uokirkuk.edu.iq","","","Kirkuk","35.44607","44.3796","official-ish","Federal MoHESR list","Wikidata item with official website; verify before outreach. Source URLs: http://www.wikidata.org/entity/Q4115996"
"Komar University of Science and Technology","جامعة كومار للعلوم والتكنولوجيا","private university","Sulaymaniyah","","http://www.komar.edu.iq","","","Sulaymaniyah","35.5921863","45.3619602","official-ish","KRG MoHE list","Wikidata item with official website; verify before outreach. Source URLs: http://www.wikidata.org/entity/Q22081778"
"Al-Qalam University College","كلية القلم الجامعة","academic institution","Sulaymaniyah","","https://alqalam.edu.iq","","","Kirkuk Governorate","35.48247387","44.46576604","official-ish","official-guide only","Wikidata item with official website; verify before outreach. Source URLs: http://www.wikidata.org/entity/Q25450382"
"Kurdistan Institution for Strategic Studies and Scientific Research","","academic institution","Sulaymaniyah","","http://www.kissr.edu.krd","","","Sulaymaniyah","","","needs_review","KRG MoHE list","From Wikidata; may lack phone/email/website. Source URLs: http://www.wikidata.org/entity/Q28220432"
"University of Human Development","جامعة التنمية البشرية","academic institution","Sulaymaniyah","","http://uhd.edu.iq/en","","","Sulaymaniyah","35.52931","45.495838","official-ish","KRG MoHE list","Wikidata item with official website; verify before outreach. Source URLs: http://www.wikidata.org/entity/Q5989870"
"Al-Mustansiriya University","الجامعة المستنصرية","university","Baghdad","","http://www.uomustansiriyah.edu.iq","","","Baghdad","33.3669473","44.3996353","official-ish","dual-source verified","Wikidata item with official website; verify before outreach. Source URLs: http://www.wikidata.org/entity/Q310842"
